"frost","NY1","50","N","N"," ","fr∑∫{∞}st","MS"," ",1
"frost","NY2A","51.1","N","N"," ","fr∑∫st","MS"," ",2
"white frost","NY2B","51.2","O","N"," ","hw•±øt$fr∑∫st","MS"," ",3
"frost","NY2C","51.3","N","Y"," ","fr∑´∫{∞}st","MS","AUX",4
"black frost","NY2C","51.3","O","Y","""when you have ice¢","bl·{±øΩ}k$fr∑´∫{∞}st","MS","AUX",4
"ice","NY2C","51.3","N","Y"," ","∏±ø´s","MS","INA",4
"killing frost","NY3A","401","O","N"," ","k{h}±Ï±øn$fr∑Ω∫st","MS"," ",5
"frost","NY3A","401","N","N"," ","fr∑Ω∫st","MS"," ",5
"dew","NY3A","401","N","Y"," ","dπºu","MS","INA",5
"frost","NY3B","403","N","N"," ","fr∑Ω∫st","MS"," ",6
"killing frost","NY3B","403","O","N"," ","k{h}±Ï±øÓ$fr∑Ω∫{∞}st","MS"," ",6
"dew","NY3B","403","N","Y"," ","dπ´u","MS","INA",6
"black frost","NY3C","402","O","N"," ","bÏ·k$fr∂´:st","MS"," ",7
"frost","NY3C","402","N","N"," ","fr∂´:st","MS"," ",7
"dew","NY3C","402","N","Y"," ","dπ´æu","MS","INA",7
"frost","NY3D","404","N","N"," ","fr∑∫{∞}st","MS"," ",8
"killing frost","NY3D","404","O","N"," ","k{h}±l±øÓ$fr∑∫{∞}st","MS"," ",8
"dew","NY3D","404","N","Y"," ","d±øuº","MS","INA",8
"black frost","NY4A","405","O","N"," ","bÏ·k$fr∑∫st","MS"," ",9
"frost","NY4A","405","N","N"," ","fr∑∫st","MS"," ",9
"dew","NY4A","405","N","Y"," ","duº∫","MS","INA",9
"frost","NY4B","407","N","N"," ","fr∑Ω∫st","MS"," ",10
"dew","NY4B","407","N","Y"," ","duº{w}","MS","INA",10
"heavy freeze","NY4C","408","O","N"," ","h≤v±ø´{±ø´º}$friΩæiz","MS"," ",11
"frost","NY4C","408","N","N"," ","fr∑∫{∞}st","MS"," ",11
"dew","NY4C","408","N","Y"," ","dπ´uº","MS","INA",11
"heavy frost","NY5A","409","O","N"," ","h≤v±ø´$fr∑´∫{∞}st","MS"," ",12
"frost","NY5A","409","N","N"," ","fr∑´∫{∞}st","MS"," ",12
"dew","NY5A","409","N","Y"," ","duº∫","MS","INA",12
"frost","NY5B","410","N","N"," ","fr∑Ω∫st","MS"," ",13
"dew","NY5B","410","N","Y"," ","duΩº{u}","MS","INA",13
"frost","NY5C","411","N","N"," ","fr∑∫{∞}st","MS"," ",14
"dew","NY5C","411","N","Y"," ","dπ›´u›","MS","INA",14
"frost","NY5D","412","N","N"," ","fr∑∫{∞}st","MS"," ",15
"hard frost","NY5D","412","O","N"," ","hµæ:d$fr∑∫{∞}st","MS"," ",15
"dew","NY5D","412","N","Y"," ","duº∫","MS","INA",15
"frost","NY5E","413","N","N"," ","fr∑∫{∞}st","MS"," ",16
"dew","NY5E","413","N","Y"," ","duΩº∫","MS","INA",16
"killing frost","NY5F","414","O","N"," ","ık{h}±æÏ±øÓ$Âfr∑∫{∞}st","MS"," ",17
"frost","NY5F","414","N","N"," ","fr∑∫{∞}st","MS"," ",17
"dew","NY5F","414","N","Y"," ","dπu›","MS","INA",17
"frost","NY5G","415","N","N"," ","fr∑Ω∫{∞}st","MS"," ",18
"dew","NY5G","415","N","Y"," ","dπ´u","MS","INA",18
"freeze","NY5H!","416!","N","N"," ","fÚü’±´iz","MS"," ",19
"frost","NY5H!","416!","N","N"," ","fÚü’∑Ω∫{∞}st","MS"," ",19
"dew","NY5H!","416!","N","Y"," ","d{j}uº∫","MS","INA",19
"killing frost","NY5I!","417!","O","N"," ","k{h}±Ï±øÓ$fr∑∫{∞}st","MS"," ",20
"frost","NY5I!","417!","N","N"," ","fr∑∫{∞}st","MS"," ",20
"dew","NY5I!","417!","N","Y"," ","d±øuº","MS","INA",20
"black frost","NY6A","418","O","N"," ","bl·k$fr∑∫{∞}st","MS"," ",21
"frost","NY6A","418","N","N"," ","fr∑∫{∞}st","MS"," ",21
"dew","NY6A","418","N","Y"," ","duº{u´º}","MS","INA",21
"heavy frost","NY6B","419","O","N"," ","h≤v±ø´$fr∂´∫{∞}st","MS"," ",22
"frost","NY6B","419","N","N"," ","fr∂´∫{∞}st","MS"," ",22
"dew","NY6B","419","N","Y"," ","duº∫","MS","INA",22
"frost","NY7A","420","N","N"," ","fr∑ó∫{∞}st","MS"," ",23
"dew","NY7A","420","N","Y"," ","dèuº∫","MS","INA",23
"frost","NY7B","421","N","N"," ","fr∑´∫{∞}st","MS"," ",24
"dew","NY7B","421","N","Y"," ","du∫","MS","INA",24
"frost","NY7C","422","N","N"," ","fr∑´∫{∞}st","MS"," ",25
"dew","NY7C","422","N","Y"," ","duº∫","MS","INA",25
"frost","NY7D","423","N","N"," ","fr∑∫{∞}st","MS"," ",26
"dew","NY7D","423","N","Y"," ","du∫","MS","INA",26
"heavy frost","NY7E","424","O","N"," ","h≤v±ø´º$fr∑∫st","MS"," ",27
"frost","NY7E","424","N","N"," ","fr∑∫st","MS"," ",27
"dew","NY7E","424","N","Y"," ","duΩº∫","MS","INA",27
"heavy frost","NY7F","425","O","N"," ","h≤viΩæ$fr∑Ωst","MS"," ",28
"frost","NY7F","425","N","N"," ","fr∑Ωst","MS"," ",28
"dew","NY7F","425","N","Y"," ","duº∫","MS","INA",28
"frost","NY7G","426","N","N"," ","fˆü’à∑Ωst","MS"," ",29
"dew","NY7G","426","N","Y"," ","dπ´º{w}","MS","INA",29
"frost","NY7H","427","N","N"," ","fr∑∫{∞}st","MS"," ",30
"freeze","NY7H","427","N","N","rare","friΩiz","MS"," ",30
"dew","NY7H","427","N","Y"," ","dπºu","MS","INA",30
"heavy frost","NY7I","428","O","N"," ","h≤v±ø´º$fr∑Ω∫{∞}st","MS"," ",31
"frost","NY7I","428","N","N"," ","fr∑Ω∫{∞}st","MS"," ",31
"dew","NY7I","428","N","Y"," ","duº∫","MS","INA",31
"frost","NY7J!","429!","N","N"," ","fr∑∫{∞}st","MS"," ",32
"dew","NY7J!","429!","N","Y"," ","duΩº∫","MS","INA",32
"frost","NY7K!","430!","N","N"," ","fr∑´∫st","MS"," ",33
"dew","NY7K!","430!","N","Y"," ","duΩº{u}","MS","INA",33
"frost","NY7L!","431!","N","N"," ","fÒéà›∑∫st","MS"," ",34
"dew","NY7L!","431!","N","Y"," ","djuº∫","MS","INA",34
"hoarfrost","NY7M!","432!","N","N"," ","h∑∫∞$fr∑∫{∞}st","MS"," ",35
"hard frost","NY7M!","432!","O","N"," ","hµæ:d$fr∑∫{∞}st","MS"," ",35
"dew","NY7M!","432!","N","Y"," ","du∫","MS","INA",35
"frost","NY8","432b","N","N"," ","fr∑∫st","MS"," ",36
"black frost","NY8","432b","O","N"," ","bl·k$fr∑∫st","MS"," ",36
"dew","NY8","432b","N","Y"," ","du∫","MS","INA",36
"frost","NY9A","432c","N","N"," ","fr∑∫{∞}st","MS"," ",37
"black frost","NY9A","432c","O","N"," ","bl·k$fr∑∫{∞}st","MS"," ",37
"dew","NY9A","432c","N","Y"," ","duº∫","MS","INA",37
"frost","NY9B","433","N","N"," ","fr∑Ω:st","MS"," ",38
"black frost","NY9B","433","O","N"," ","bl·∫k$fr∑:st","MS"," ",38
"dew","NY9B","433","N","Y"," ","duº∫","MS","INA",38
"frost","NY9C","434","N","N"," ","fr∑Ω∫{∞}st","MS"," ",39
"black frost","NY9C","434","O","N"," ","bl·k$fr∑Ω∫{∞}st","MS"," ",39
"dew","NY9C","434","N","Y"," ","dπ´u","MS","INA",39
"frost","NY10A","435","N","N"," ","fr∂´∫{∞}st","MS"," ",40
